chr	start	end
chr1	855266	855766
chr1	969796	970296
chr1	1099044	1099544
chr1	1109315	1109815
chr1	1114575	1115075
chr1	1148671	1149171
chr1	1179416	1179916
chr1	1231781	1232281
chr1	1244901	1245401
chr1	1289708	1290208
chr1	1309641	1310141
chr1	1407845	1408345
chr1	1474605	1475105
chr1	1510983	1511483
chr1	1534332	1534832
chr1	1549954	1550454
chr1	1563588	1564088
chr1	1608899	1609399
chr1	1713395	1713895
chr1	1851099	1851599
chr1	1949912	1950412
chr1	1961547	1962047
chr1	1974687	1975187
chr1	2047430	2047930
chr1	2063783	2064283
chr1	2082315	2082815
chr1	2121018	2121518
chr1	2125049	2125549
chr1	2135809	2136309
chr1	2162213	2162713
chr1	2222199	2222699
chr1	2234311	2234811
chr1	2253724	2254224
chr1	2336051	2336551
chr1	2359927	2360427
chr1	2460242	2460742
chr1	2562393	2562893
chr1	2705526	2706026
chr1	2716742	2717242
chr1	2885063	2885563
chr1	2984276	2984776
chr1	2995273	2995773
chr1	3056542	3057042
chr1	3069900	3070400
chr1	3105041	3105541
chr1	3239416	3239916
chr1	3277030	3277530
chr1	3310070	3310570
chr1	3321770	3322270
chr1	3562464	3562964
chr1	3566946	3567446
chr1	3607097	3607597
chr1	3649295	3649795
chr1	3662964	3663464
chr1	3774688	3775188
chr1	3826220	3826720
chr1	4718490	4718990
chr1	4771153	4771653
chr1	6086245	6086745
chr1	6187744	6188244
chr1	6264826	6265326
chr1	6294529	6295029
chr1	6478558	6479058
chr1	6514208	6514708
chr1	6525997	6526497
chr1	6639428	6639928
chr1	7022002	7022502
chr1	7122520	7123020
chr1	7724401	7724901
chr1	7765594	7766094
chr1	7841961	7842461
chr1	8086555	8087055
chr1	8271997	8272497
chr1	8378285	8378785
chr1	8403698	8404198
chr1	8937099	8937599
chr1	9099281	9099781
chr1	9190504	9191004
chr1	9243168	9243668
chr1	9686626	9687126
chr1	9714281	9714781
chr1	9747796	9748296
chr1	9884512	9885012
chr1	10002166	10002666
chr1	10268516	10269016
chr1	10533178	10533678
chr1	10698300	10698800
chr1	10707811	10708311
chr1	10713839	10714339
chr1	11071820	11072320
chr1	11159888	11160388
chr1	11540170	11540670
chr1	11710268	11710768
chr1	11740329	11740829
chr1	11899394	11899894
chr1	12227377	12227877
chr1	12251278	12251778
chr1	12600348	12600848
chr1	12654927	12655427
chr1	12678484	12678984
chr1	14027482	14027982
chr1	16163761	16164261
chr1	16300903	16301403
chr1	16480985	16481485
chr1	16533918	16534418
chr1	16554327	16554827
chr1	16679075	16679575
chr1	16847281	16847781
chr1	16974356	16974856
chr1	17027184	17027684
chr1	17186112	17186612
chr1	17198562	17199062
chr1	17215422	17215922
chr1	17240039	17240539
chr1	17287291	17287791
chr1	17475703	17476203
chr1	19110721	19111221
chr1	19180946	19181446
chr1	19971756	19972256
chr1	19992647	19993147
chr1	20669567	20670067
chr1	21115709	21116209
chr1	21503616	21504116
chr1	21767071	21767571
chr1	21836049	21836549
chr1	21949175	21949675
chr1	21978602	21979102
chr1	22351418	22351918
chr1	22668639	22669139
chr1	22919774	22920274
chr1	23038324	23038824
chr1	23763155	23763655
chr1	23880518	23881018
chr1	24116483	24116983
chr1	24127800	24128300
chr1	24284786	24285286
chr1	24648203	24648703
chr1	24742858	24743358
chr1	25073353	25073853
chr1	25258528	25259028
chr1	25944162	25944662
chr1	26097905	26098405
chr1	26186473	26186973
chr1	26233451	26233951
chr1	26490308	26490808
chr1	26551518	26552018
chr1	26686517	26687017
chr1	26757993	26758493
chr1	26948345	26948845
chr1	27676420	27676920
chr1	27687278	27687778
chr1	27709601	27710101
chr1	27719393	27719893
chr1	27854917	27855417
chr1	27901661	27902161
chr1	28585332	28585832
chr1	28909070	28909570
chr1	29101791	29102291
chr1	29139002	29139502
chr1	29449200	29449700
chr1	31158010	31158510
chr1	31190473	31190973
chr1	31280122	31280622
chr1	32230147	32230647
